Done loading data from cached files.
start training...
load PPR information from the existing.
epoch 0, loss 3.5055534839630127, acc 0.01545157780195865
epoch 100, loss 1.909502625465393, acc 0.6896626768226333
epoch 200, loss 1.5813392400741577, acc 0.7220892274211099
epoch 300, loss 1.403473138809204, acc 0.7514689880304679
epoch 400, loss 1.2881765365600586, acc 0.7775843307943416
epoch 500, loss 1.2069122791290283, acc 0.7797606093579978
epoch 600, loss 1.1455402374267578, acc 0.780195865070729
epoch 700, loss 1.0968536138534546, acc 0.7980413492927094
epoch 800, loss 1.0569126605987549, acc 0.8026115342763874
epoch 900, loss 1.0233867168426514, acc 0.8043525571273124
epoch 1000, loss 0.9947593808174133, acc 0.8052230685527747
epoch 1100, loss 0.9699691534042358, acc 0.806746463547334
epoch 1200, loss 0.9482446312904358, acc 0.808487486398259
epoch 1300, loss 0.929013729095459, acc 0.8089227421109902
epoch 1400, loss 0.9118458032608032, acc 0.8134929270946681
epoch 1500, loss 0.8964088559150696, acc 0.8174102285092492
epoch 1600, loss 0.8824400305747986, acc 0.8171926006528836
epoch 1700, loss 0.8697275519371033, acc 0.8176278563656147
epoch 1800, loss 0.8580991625785828, acc 0.8200217627856365
epoch 1900, loss 0.8474143147468567, acc 0.8200217627856365
epoch 2000, loss 0.8375572562217712, acc 0.8202393906420021
epoch 2100, loss 0.8284324407577515, acc 0.819804134929271
epoch 2200, loss 0.8199595808982849, acc 0.8202393906420021
epoch 2300, loss 0.8120720386505127, acc 0.821980413492927
epoch 2400, loss 0.8047130107879639, acc 0.8215451577801959
epoch 2500, loss 0.7978336811065674, acc 0.8256800870511426
epoch 2600, loss 0.7913912534713745, acc 0.8261153427638738
epoch 2700, loss 0.7853478193283081, acc 0.8263329706202394
epoch 2800, loss 0.779669463634491, acc 0.8265505984766051
epoch 2900, loss 0.774325430393219, acc 0.8272034820457018
testing...
final test: 0.8244125326370757, std 0.0
