Done loading data from cached files.
start training...
load PPR information from the existing.
epoch 0, loss 3.424436092376709, acc 0.015669205658324265
epoch 100, loss 1.9071719646453857, acc 0.6639825897714907
epoch 200, loss 1.5792447328567505, acc 0.7397170837867247
epoch 300, loss 1.4152501821517944, acc 0.7505984766050054
epoch 400, loss 1.3091315031051636, acc 0.7590859630032644
epoch 500, loss 1.231049656867981, acc 0.7704026115342764
epoch 600, loss 1.1696155071258545, acc 0.7869423286180631
epoch 700, loss 1.1196047067642212, acc 0.7982589771490751
epoch 800, loss 1.078241229057312, acc 0.7986942328618063
epoch 900, loss 1.0436099767684937, acc 0.7989118607181719
epoch 1000, loss 1.0142725706100464, acc 0.7991294885745376
epoch 1100, loss 0.9891287088394165, acc 0.7991294885745376
epoch 1200, loss 0.9673250317573547, acc 0.7991294885745376
epoch 1300, loss 0.9481981992721558, acc 0.7991294885745376
epoch 1400, loss 0.9312347769737244, acc 0.802829162132753
epoch 1500, loss 0.9160370826721191, acc 0.8026115342763874
epoch 1600, loss 0.9022963047027588, acc 0.8030467899891186
epoch 1700, loss 0.8897715210914612, acc 0.8113166485310119
epoch 1800, loss 0.8782730102539062, acc 0.8108813928182808
epoch 1900, loss 0.8676518201828003, acc 0.8121871599564744
epoch 2000, loss 0.8577943444252014, acc 0.8130576713819369
epoch 2100, loss 0.8486092686653137, acc 0.8147986942328618
epoch 2200, loss 0.8400134444236755, acc 0.8137105549510337
epoch 2300, loss 0.8319352865219116, acc 0.8134929270946681
epoch 2400, loss 0.8243218660354614, acc 0.8137105549510337
epoch 2500, loss 0.8171353340148926, acc 0.8182807399347116
epoch 2600, loss 0.810346782207489, acc 0.8182807399347116
epoch 2700, loss 0.8039270639419556, acc 0.8206746463547334
epoch 2800, loss 0.7978472709655762, acc 0.8206746463547334
epoch 2900, loss 0.7920792698860168, acc 0.8206746463547334
testing...
final test: 0.816579634464752, std 0.0
