Done loading data from cached files.
start training...
load PPR information from the existing.
epoch 0, loss 3.9397549629211426, acc 0.0998911860718172
epoch 100, loss 2.203528642654419, acc 0.47573449401523393
epoch 200, loss 2.1422877311706543, acc 0.5201305767138193
epoch 300, loss 2.087944269180298, acc 0.5229597388465723
epoch 400, loss 2.032475471496582, acc 0.5273122959738846
epoch 500, loss 2.0016980171203613, acc 0.5292709466811751
epoch 600, loss 1.9820302724838257, acc 0.5307943416757345
epoch 700, loss 1.968063235282898, acc 0.5323177366702938
epoch 800, loss 1.957424283027649, acc 0.5334058759521219
epoch 900, loss 1.948920726776123, acc 0.5342763873775843
epoch 1000, loss 1.9399166107177734, acc 0.5349292709466812
epoch 1100, loss 1.9309502840042114, acc 0.5338411316648531
epoch 1200, loss 1.92286217212677, acc 0.5338411316648531
epoch 1300, loss 1.9155374765396118, acc 0.5338411316648531
epoch 1400, loss 1.9089125394821167, acc 0.5338411316648531
epoch 1500, loss 1.9029731750488281, acc 0.5340587595212187
epoch 1600, loss 1.8977168798446655, acc 0.5342763873775843
epoch 1700, loss 1.8931169509887695, acc 0.5340587595212187
epoch 1800, loss 1.889098048210144, acc 0.5338411316648531
epoch 1900, loss 1.8855572938919067, acc 0.5334058759521219
epoch 2000, loss 1.882403016090393, acc 0.5334058759521219
epoch 2100, loss 1.8795661926269531, acc 0.5334058759521219
epoch 2200, loss 1.8769972324371338, acc 0.5340587595212187
epoch 2300, loss 1.8746585845947266, acc 0.5338411316648531
epoch 2400, loss 1.8725193738937378, acc 0.5338411316648531
epoch 2500, loss 1.8705545663833618, acc 0.5342763873775843
epoch 2600, loss 1.86874258518219, acc 0.5347116430903156
epoch 2700, loss 1.867066740989685, acc 0.5347116430903156
epoch 2800, loss 1.8655109405517578, acc 0.5347116430903156
epoch 2900, loss 1.8640629053115845, acc 0.5347116430903156
epoch 3000, loss 1.8627103567123413, acc 0.5347116430903156
epoch 3100, loss 1.8614447116851807, acc 0.5344940152339499
epoch 3200, loss 1.8602579832077026, acc 0.5347116430903156
epoch 3300, loss 1.8591421842575073, acc 0.5349292709466812
epoch 3400, loss 1.8580918312072754, acc 0.5349292709466812
epoch 3500, loss 1.857100486755371, acc 0.5347116430903156
epoch 3600, loss 1.8561639785766602, acc 0.5347116430903156
epoch 3700, loss 1.8552775382995605, acc 0.5344940152339499
epoch 3800, loss 1.854437232017517, acc 0.5344940152339499
epoch 3900, loss 1.8536397218704224, acc 0.5351468988030468
epoch 4000, loss 1.8528809547424316, acc 0.5351468988030468
epoch 4100, loss 1.8521581888198853, acc 0.5360174102285092
epoch 4200, loss 1.8514695167541504, acc 0.5357997823721437
epoch 4300, loss 1.8508124351501465, acc 0.5357997823721437
epoch 4400, loss 1.8501847982406616, acc 0.5357997823721437
epoch 4500, loss 1.8495851755142212, acc 0.5355821545157781
epoch 4600, loss 1.8490110635757446, acc 0.5357997823721437
epoch 4700, loss 1.8484615087509155, acc 0.5360174102285092
epoch 4800, loss 1.8479344844818115, acc 0.5360174102285092
epoch 4900, loss 1.8474292755126953, acc 0.5357997823721437
epoch 5000, loss 1.8469438552856445, acc 0.5357997823721437
