Done loading data from cached files.
start training...
load PPR information from the existing.
epoch 0, loss 5.149669647216797, acc 0.003482045701849837
epoch 100, loss 2.6900594234466553, acc 0.4441784548422198
epoch 200, loss 2.6766812801361084, acc 0.45092491838955384
epoch 300, loss 2.6670892238616943, acc 0.4517954298150163
epoch 400, loss 2.660076379776001, acc 0.49771490750816105
epoch 500, loss 2.654698133468628, acc 0.49902067464635474
epoch 600, loss 2.6502323150634766, acc 0.4998911860718172
epoch 700, loss 2.646350383758545, acc 0.500544069640914
epoch 800, loss 1.3948942422866821, acc 0.7808487486398259
epoch 900, loss 1.3775447607040405, acc 0.781936887921654
epoch 1000, loss 1.3673714399337769, acc 0.7825897714907508
epoch 1100, loss 1.3600380420684814, acc 0.783025027203482
epoch 1200, loss 1.3541924953460693, acc 0.783025027203482
epoch 1300, loss 1.3492950201034546, acc 0.7828073993471164
epoch 1400, loss 1.345068097114563, acc 0.7828073993471164
epoch 1500, loss 1.3413485288619995, acc 0.7825897714907508
epoch 1600, loss 1.3380274772644043, acc 0.7828073993471164
epoch 1700, loss 1.3350290060043335, acc 0.7832426550598477
epoch 1800, loss 1.3322985172271729, acc 0.783025027203482
epoch 1900, loss 1.3293101787567139, acc 0.7834602829162133
epoch 2000, loss 1.3263543844223022, acc 0.7838955386289445
epoch 2100, loss 1.323577880859375, acc 0.7843307943416757
epoch 2200, loss 1.3209716081619263, acc 0.7873775843307943
epoch 2300, loss 1.318530797958374, acc 0.7871599564744287
epoch 2400, loss 1.316254734992981, acc 0.7867247007616975
epoch 2500, loss 1.3141372203826904, acc 0.7865070729053318
epoch 2600, loss 1.312164545059204, acc 0.7862894450489663
epoch 2700, loss 1.3103227615356445, acc 0.7860718171926007
epoch 2800, loss 1.3085988759994507, acc 0.7867247007616975
epoch 2900, loss 1.3069803714752197, acc 0.7867247007616975
testing...
final test: 0.7854656222802436, std 0.0
